119;800118;MARGARINA FOLHADA 80%;5.165075
120;800119;COBERTURA P/ EMPANAR DE MACARRÃO;0
121;800120;CATCHUP;3.220796
122;800121;MAIONESE;3.432
123;800122;PIMENTÃO VERDE;4.538521
124;800123;PEITO DE PERU;19.271869
125;800124;HAMBURGUER DE CARNE 90G;8.692564
126;800125;HAMBURGUER DE CARNE 56G;7.59849
127;800126;BATATA PALHA;10.366399
128;800127;MOSTARDA;2.994663
129;800128;GERGELIM;11.368402
130;800129;PRESUNTO PEÇA (FATIAR);11.351923
131;800130;ACEM;19.530084
132;800131;QUEIJO PRATO PROCESSADO;17.775764
133;800132;MUSSARELA PROCESSADA;16.447068
134;800133;COBERTURA P/ EMPANAR KFFO2;4.839967
135;800134;SORO DE LEITE;6.423956
136;800135;VINAGRE;1.6402
137;800136;MOLHO TAHINI;17.599952
138;800137;CHEDDAR;16.372777
139;800138;FRANGO DESFIADO;14.10842
140;800139;CARNE SECA DESFIADA;28.830077
141;800140;PARMESÃO RALADO;20.273463
142;800141;PRE-MISTURA P/ PAO DE QUEIJO 2 (AMID+ 50);3.010868
143;800142;PRE-MISTURA P/ PAO DE QUEIJO 3(FANTUCCI);2.992
144;800143;AMIDO (PODIUM 100);5.2624
145;800144;SACO PEBD 1 KG (TENTACAO);0.0943
146;800149;AROMA DE BACALHAU;32.8082
147;800150;AROMA DE PARMESÃO (RAI);20.8116
